judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,top_keyword,lex_match,fuzz_score,embed_sim,relevance_score,is_relevant,karakter_count,judul_berita_bersih,kategori_isu,score_kemenkeu,score_nasional,score_lainnya_hint,matched_terms,score_detail,label_reason
Apakah 1 Oktober 2025 Tanggal Merah? Cek Informasi Resminya,Tidak Diketahui,https://news.detik.com/berita/d-8124486/apakah-1-oktober-2025-tanggal-merah-cek-informasi-resminya,detik,2045-09-22 00:00:00+07:00,makan bergizi gratis,0.0,0.329,0.657,0.493,False,59,apakah 1 oktober 2025 tanggal merah? cek informasi resminya,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Ibu Kota Politik IKN Jadi Sorotan DPR, Apa Bedanya dengan Ibu Kota Negara?",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165408/ibu-kota-politik-ikn-jadi-sorotan-dpr-apa-bedanya-dengan-ibu-kota-negara,liputan6,2025-09-22 13:45:07+07:00,suntikan dana rp200 triliun,0.0,0.238,0.703,0.493,False,74,"ibu kota politik ikn jadi sorotan dpr, apa bedanya dengan ibu kota negara?",Isu Nasional,0,8,0,"{'kemenkeu': [], 'nasional': ['\\bdpr\\b|\\bdpd\\b|\\bmpr\\b', '\\bibukota nusantara\\b|\\bikn\\b'], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {'\\bdpr\\b|\\bdpd\\b|\\bmpr\\b': 4, '\\bibukota nusantara\\b|\\bikn\\b': 4}, 'lainnya_hint': {}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
"Bukan Hal Tabu, Ternyata Kontrasepsi Jadi Benteng Kesehatan Reproduksi",Tidak Diketahui,https://women.okezone.com/read/2025/09/22/482/3171625/bukan-hal-tabu-ternyata-kontrasepsi-jadi-benteng-kesehatan-reproduksi,okezone,2025-09-22 13:12:00+07:00,suntikan dana rp200 triliun,0.0,0.206,0.719,0.493,False,70,"bukan hal tabu, ternyata kontrasepsi jadi benteng kesehatan reproduksi",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Anggota Komisi III DPR Tekankan Revisi Pasal Penangkapan dan Penahanan dalam RUU KUHAP,,https://www.tribunnews.com/dpr-ri/7731929/anggota-komisi-iii-dpr-tekankan-revisi-pasal-penangkapan-dan-penahanan-dalam-ruu-kuhap,tribunnews,2025-09-22 15:08:00+07:00,suntikan dana rp200 triliun,0.0,0.23,0.706,0.493,False,86,anggota komisi iii dpr tekankan revisi pasal penangkapan dan penahanan dalam ruu kuhap,Isu Nasional,0,4,0,"{'kemenkeu': [], 'nasional': ['\\bdpr\\b|\\bdpd\\b|\\bmpr\\b'], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {'\\bdpr\\b|\\bdpd\\b|\\bmpr\\b': 4}, 'lainnya_hint': {}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
"Kode Redeem FF Aktif Hari Ini, 22 September 2025, Buruan Klaim Bundle Karakter Eksklusif Gratis",,https://www.tribunnews.com/techno/7731919/kode-redeem-ff-aktif-hari-ini-22-september-2025-buruan-klaim-bundle-karakter-eksklusif-gratis,tribunnews,2025-09-22 14:58:00+07:00,makan bergizi gratis,0.0,0.278,0.683,0.493,False,95,"kode redeem ff aktif hari ini, 22 september 2025, buruan klaim bundle karakter eksklusif gratis",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Dilaporkan Hilang oleh Warga, Bupati Buton Ngaku di Jakarta 20 Hari untuk Cari Pendanaan",,https://www.tribunnews.com/regional/7731603/dilaporkan-hilang-oleh-warga-bupati-buton-ngaku-di-jakarta-20-hari-untuk-cari-pendanaan,tribunnews,2025-09-21 19:56:00+07:00,diskusi banggar dpr,0.0,0.224,0.71,0.493,False,88,"dilaporkan hilang oleh warga, bupati buton ngaku di jakarta 20 hari untuk cari pendanaan",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Mentan Amran Cerita Kena Vertigo Sampai Dirawat 7 Jam Gara-gara IniNews39 menit yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922140811-4-669110/mentan-amran-cerita-kena-vertigo-sampai-dirawat-7-jam-gara-gara-ini,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.241,0.698,0.492,False,89,mentan amran cerita kena vertigo sampai dirawat 7 jam gara-gara ini,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Bamsoet Apresiasi 'Nikah Bersama, Bazar & Ekshibisi UMKM 2025' PBA UNPAD",Tidak Diketahui,https://news.detik.com/berita/d-8123319/bamsoet-apresiasi-nikah-bersama-bazar-ekshibisi-umkm-2025-pba-unpad,detik,2025-09-21 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.242,0.699,0.492,False,72,"bamsoet apresiasi 'nikah bersama, bazar & ekshibisi umkm 2025' pba unpad",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Bahlil Minta Shell Tak PHK Karyawan: Saya Yakin Mereka Punya Hati yang Baik,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165421/bahlil-minta-shell-tak-phk-karyawan-saya-yakin-mereka-punya-hati-yang-baik,liputan6,2025-09-22 14:00:03+07:00,diskusi banggar dpr,0.0,0.213,0.714,0.492,False,75,bahlil minta shell tak phk karyawan: saya yakin mereka punya hati yang baik,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Rupiah Anjlok ke 16.634 per Dolar AS, Tekanan Datang dari Dalam Negeri dan Global",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165248/rupiah-anjlok-ke-16634-per-dolar-as-tekanan-datang-dari-dalam-negeri-dan-global,liputan6,2025-09-22 10:20:58+07:00,suntikan dana rp200 triliun,0.0,0.241,0.699,0.492,False,81,"rupiah anjlok ke 16.634 per dolar as, tekanan datang dari dalam negeri dan global",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
