judul_berita,url_berita,keyword,page,tanggal_berita,published_at,scraped_at
Purbaya Sebut Ray Dalio Siap Dukung Program Indonesia Ekonomi • 13 jam yang lalu,https://www.cnnindonesia.com/ekonomi/20250930165101-532-1279378/purbaya-sebut-ray-dalio-siap-dukung-program-indonesia,purbaya,1,2025-09-30 19:05:24.000000,2025-09-30 19:05:24+07:00,2025-10-01 08:54:36.086780+07:00
Purbaya Sentil Balik Danantara yang Adukan Dirinya ke DPR Ekonomi • 15 jam yang lalu,https://www.cnnindonesia.com/ekonomi/20250930155921-532-1279361/purbaya-sentil-balik-danantara-yang-adukan-dirinya-ke-dpr,purbaya,1,2025-09-30 17:40:52.000000,2025-09-30 17:40:52+07:00,2025-10-01 08:54:36.157635+07:00
"Purbaya Ditagih Subsidi BBM & Listrik: Sudah Bayar, Nyangkut di Mana? Ekonomi • 20 jam yang lalu",https://www.cnnindonesia.com/ekonomi/20250930113947-532-1279185/purbaya-ditagih-subsidi-bbm-listrik-sudah-bayar-nyangkut-di-mana,purbaya,1,2025-09-30 12:27:16.000000,2025-09-30 12:27:16+07:00,2025-10-01 08:54:36.254505+07:00
"Purbaya Tiba-tiba Sidak Kantor BNI, Nimbrung Rapat Direksi Ekonomi • 1 hari yang lalu",https://www.cnnindonesia.com/ekonomi/20250929134914-532-1278863/purbaya-tiba-tiba-sidak-kantor-bni-nimbrung-rapat-direksi,purbaya,1,2025-09-29 14:15:54.000000,2025-09-29 14:15:54+07:00,2025-10-01 08:54:36.330606+07:00
Purbaya Ancam Ambil Alih Uang Pemda yang Masih Nganggur Ekonomi • 5 hari yang lalu,https://www.cnnindonesia.com/ekonomi/20250925180050-532-1277772/purbaya-ancam-ambil-alih-uang-pemda-yang-masih-nganggur,purbaya,1,2025-09-25 19:37:33.000000,2025-09-25 19:37:33+07:00,2025-10-01 08:54:36.406656+07:00
"Luhut: Program MBG Bagus, Tinggal Pengelolaan yang Tertib Ekonomi • 5 hari yang lalu",https://www.cnnindonesia.com/ekonomi/20250925100133-532-1277517/luhut-program-mbg-bagus-tinggal-pengelolaan-yang-tertib,purbaya,1,2025-09-25 17:51:44.000000,2025-09-25 17:51:44+07:00,2025-10-01 08:54:39.418451+07:00
Purbaya Optimistis Mimpi Prabowo Defisit APBN 0 Persen Bisa Terwujud Ekonomi • 1 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250923163703-532-1276872/purbaya-optimistis-mimpi-prabowo-defisit-apbn-0-persen-bisa-terwujud,purbaya,1,2025-09-23 17:15:17.000000,2025-09-23 17:15:17+07:00,2025-10-01 08:54:41.837598+07:00
Purbaya Pede Bisa Genjot Ekonomi RI Lebih Cepat Tanpa Tambah Utang Ekonomi • 1 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250923142814-532-1276800/purbaya-pede-bisa-genjot-ekonomi-ri-lebih-cepat-tanpa-tambah-utang,purbaya,1,2025-09-23 15:18:00.000000,2025-09-23 15:18:00+07:00,2025-10-01 08:54:43.889120+07:00
"Purbaya Tegaskan Data Ekonomi RI Tumbuh 5,12 Persen Bukan Manipulasi Ekonomi • 1 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250922162321-532-1276432/purbaya-tegaskan-data-ekonomi-ri-tumbuh-512-persen-bukan-manipulasi,purbaya,1,2025-09-22 19:30:38.000000,2025-09-22 19:30:38+07:00,2025-10-01 08:54:44.025902+07:00
"Purbaya Panggil Tokopedia Cs, Larang Jual Rokok Ilegal Mulai 1 Oktober Ekonomi • 1 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250922174710-532-1276471/purbaya-panggil-tokopedia-cs-larang-jual-rokok-ilegal-mulai-1-oktober,purbaya,2,2025-09-22 18:15:49.000000,2025-09-22 18:15:49+07:00,2025-10-01 08:54:47.952041+07:00
